,nodeA,nodeB
0,John F. Kerry,Laurent Fabius
1,Francois Hollande,John F. Kerry
2,John F. Kerry,Kerry
3,John F. Kerry,Obama
4,John F. Kerry,Kerry
5,John F. Kerry,Kerry
6,Benjamin Netanyahu,John F. Kerry
7,Jane Hartley,John F. Kerry
8,John F. Kerry,Victoria Nuland
9,Eric H. Holder Jr.,John F. Kerry
10,John F. Kerry,Narendra Modi
11,John F. Kerry,Kerry
12,Francois Hollande,Laurent Fabius
13,Kerry,Laurent Fabius
14,Laurent Fabius,Obama
15,Kerry,Laurent Fabius
16,Kerry,Laurent Fabius
17,Benjamin Netanyahu,Laurent Fabius
18,Jane Hartley,Laurent Fabius
19,Laurent Fabius,Victoria Nuland
20,Eric H. Holder Jr.,Laurent Fabius
21,Laurent Fabius,Narendra Modi
22,Kerry,Laurent Fabius
23,Francois Hollande,Kerry
24,Francois Hollande,Obama
25,Francois Hollande,Kerry
26,Francois Hollande,Kerry
27,Benjamin Netanyahu,Francois Hollande
28,Francois Hollande,Jane Hartley
29,Francois Hollande,Victoria Nuland
30,Eric H. Holder Jr.,Francois Hollande
31,Francois Hollande,Narendra Modi
32,Francois Hollande,Kerry
33,Kerry,Obama
34,Kerry,Kerry
35,Kerry,Kerry
36,Benjamin Netanyahu,Kerry
37,Jane Hartley,Kerry
38,Kerry,Victoria Nuland
39,Eric H. Holder Jr.,Kerry
40,Kerry,Narendra Modi
41,Kerry,Kerry
42,Kerry,Obama
43,Kerry,Obama
44,Benjamin Netanyahu,Obama
45,Jane Hartley,Obama
46,Obama,Victoria Nuland
47,Eric H. Holder Jr.,Obama
48,Narendra Modi,Obama
49,Kerry,Obama
50,Kerry,Kerry
51,Benjamin Netanyahu,Kerry
52,Jane Hartley,Kerry
53,Kerry,Victoria Nuland
54,Eric H. Holder Jr.,Kerry
55,Kerry,Narendra Modi
56,Kerry,Kerry
57,Benjamin Netanyahu,Kerry
58,Jane Hartley,Kerry
59,Kerry,Victoria Nuland
60,Eric H. Holder Jr.,Kerry
61,Kerry,Narendra Modi
62,Kerry,Kerry
63,Benjamin Netanyahu,Jane Hartley
64,Benjamin Netanyahu,Victoria Nuland
65,Benjamin Netanyahu,Eric H. Holder Jr.
66,Benjamin Netanyahu,Narendra Modi
67,Benjamin Netanyahu,Kerry
68,Jane Hartley,Victoria Nuland
69,Eric H. Holder Jr.,Jane Hartley
70,Jane Hartley,Narendra Modi
71,Jane Hartley,Kerry
72,Eric H. Holder Jr.,Victoria Nuland
73,Narendra Modi,Victoria Nuland
74,Kerry,Victoria Nuland
75,Eric H. Holder Jr.,Narendra Modi
76,Eric H. Holder Jr.,Kerry
77,Kerry,Narendra Modi
78,Donald Trump,Hillary Clinton
79,Hillary Clinton,Ted Cruz
80,Bernie Sanders,Hillary Clinton
81,D-Vt.,Hillary Clinton
82,Hillary Clinton,John Kasich
83,Clinton,Hillary Clinton
